Ticker,Date,Price_Before,Price_Day_Of,Price_3Days_After,1D_Return_%,3D_Post_Return_%,Mkt_1D_Return_%,Abnormal_1D_Return_%,Abnormal_3D_Post_Return_%,EPS_Estimate,EPS_Actual,Surprise_%
AAPL,2024-10-31,228.39,224.23,221.79,-1.82,-1.09,-1.96,0.14,-2.51,1.6,1.64,2.4999999999999885
AAPL,2025-01-30,237.84,236.08,231.32,-0.74,-2.02,0.54,-1.28,-1.48,2.35,2.4,2.1276595744680775
AAPL,2025-04-24,203.52,207.27,210.1,1.84,1.36,2.1,-0.26,-0.04,1.53,1.65,7.843137254901953
MSFT,2024-10-24,418.78,418.91,426.03,0.03,1.7,0.22,-0.19,1.26,3.1,3.3,6.451612903225798
MSFT,2025-01-29,441.96,437.14,406.1,-1.09,-7.1,-0.45,-0.64,-6.43,3.2,3.23,0.9374999999999939
MSFT,2025-04-24,370.74,383.53,390.2,3.45,1.74,2.1,1.35,0.34,3.1,3.1,0.0
TSLA,2024-10-23,217.97,213.65,262.51,-1.98,22.87,-0.91,-1.07,22.38,0.6,0.72,20.0
TSLA,2025-01-29,398.09,389.1,383.68,-2.26,-1.39,-0.45,-1.81,-0.72,0.73,0.66,-9.589041095890405
TSLA,2025-04-22,227.5,237.97,284.95,4.6,19.74,2.6,2.0,15.3,0.42,0.41,-2.380952380952383
TSLA,2025-07-23,332.11,332.56,325.59,0.14,-2.1,0.85,-0.71,-2.53,0.6,0.52,-13.333333333333327
AMZN,2024-10-31,192.73,186.4,199.5,-3.28,7.03,-1.96,-1.32,5.61,1.14,1.43,25.438596491228076
AMZN,2025-01-30,237.07,234.64,242.06,-1.03,3.16,0.54,-1.57,3.7,1.38,1.89,36.95652173913044
AMZN,2025-04-24,180.6,186.54,187.39,3.29,0.46,2.1,1.19,-0.94,1.36,1.59,16.91176470588235
