Ticker,Date,Price_Before,Price_Day_Of,Price_3Days_After,1D_Return_%,3D_Post_Return_%,Mkt_1D_Return_%,Abnormal_1D_Return_%,Abnormal_3D_Post_Return_%
AAPL,2024-10-31,228.39,224.23,221.79,-1.82,-1.09,-1.96,0.14,-2.51
AAPL,2025-01-30,237.84,236.08,231.32,-0.74,-2.02,0.54,-1.28,-1.48
AAPL,2025-04-24,203.52,207.27,210.1,1.84,1.36,2.1,-0.26,-0.04
AAPL,2025-07-29,213.2,210.44,201.58,-1.3,-4.21,-0.26,-1.04,-2.08
MSFT,2024-10-24,418.78,418.91,426.03,0.03,1.7,0.22,-0.19,1.26
MSFT,2025-01-29,441.96,437.14,406.1,-1.09,-7.1,-0.45,-0.64,-6.43
MSFT,2025-04-24,370.74,383.53,390.2,3.45,1.74,2.1,1.35,0.34
MSFT,2025-07-29,508.44,508.51,519.96,0.01,2.25,-0.26,0.27,4.38
TSLA,2024-10-23,217.97,213.65,262.51,-1.98,22.87,-0.91,-1.07,22.38
TSLA,2025-01-29,398.09,389.1,383.68,-2.26,-1.39,-0.45,-1.81,-0.72
TSLA,2025-04-22,227.5,237.97,284.95,4.6,19.74,2.6,2.0,15.3
TSLA,2025-07-23,332.11,332.56,325.59,0.14,-2.1,0.85,-0.71,-2.53
AMZN,2024-10-31,192.73,186.4,199.5,-3.28,7.03,-1.96,-1.32,5.61
AMZN,2025-01-30,237.07,234.64,242.06,-1.03,3.16,0.54,-1.57,3.7
AMZN,2025-04-24,180.6,186.54,187.39,3.29,0.46,2.1,1.19,-0.94
AMZN,2025-07-31,230.19,234.11,213.75,1.7,-8.7,-0.38,2.08,-8.05
