Ticker,Date,Price_Before,Price_Day_Of,Price_3Days_After,1D_Return_%,3D_Post_Return_%
AAPL,2024-10-31,228.39,224.23,221.79,-1.82,-1.09
AAPL,2025-01-30,237.84,236.08,231.32,-0.74,-2.02
AAPL,2025-04-24,203.52,207.27,210.1,1.84,1.36
AAPL,2025-07-29,213.2,210.44,201.58,-1.3,-4.21
MSFT,2024-10-24,418.78,418.91,426.03,0.03,1.7
MSFT,2025-01-29,441.96,437.14,406.1,-1.09,-7.1
MSFT,2025-04-24,370.74,383.53,390.2,3.45,1.74
MSFT,2025-07-29,508.44,508.51,519.96,0.01,2.25
TSLA,2024-10-23,217.97,213.65,262.51,-1.98,22.87
TSLA,2025-01-29,398.09,389.1,383.68,-2.26,-1.39
TSLA,2025-04-22,227.5,237.97,284.95,4.6,19.74
TSLA,2025-07-23,332.11,332.56,325.59,0.14,-2.1
AMZN,2024-10-31,192.73,186.4,199.5,-3.28,7.03
AMZN,2025-01-30,237.07,234.64,242.06,-1.03,3.16
AMZN,2025-04-24,180.6,186.54,187.39,3.29,0.46
AMZN,2025-07-31,230.19,234.11,213.75,1.7,-8.7
